timestamp,bid,offer
2025-12-01T09:00:00Z,1.10000,1.10020
2025-12-01T09:01:00Z,1.09990,1.10010
2025-12-01T09:02:00Z,1.09980,1.10000
2025-12-01T09:03:00Z,1.09970,1.09990
2025-12-01T09:04:00Z,1.09960,1.09980
2025-12-01T09:05:00Z,1.09950,1.09970
2025-12-01T09:06:00Z,1.09940,1.09960
2025-12-01T09:07:00Z,1.09930,1.09950
2025-12-01T09:08:00Z,1.09920,1.09940
2025-12-01T09:09:00Z,1.09900,1.09920
2025-12-01T09:10:00Z,1.09880,1.09900
2025-12-01T09:11:00Z,1.09860,1.09880
2025-12-01T09:12:00Z,1.09840,1.09860
2025-12-01T09:13:00Z,1.09820,1.09840
2025-12-01T09:14:00Z,1.09800,1.09820
2025-12-01T09:15:00Z,1.09780,1.09800
2025-12-01T09:16:00Z,1.09760,1.09780
2025-12-01T09:17:00Z,1.09740,1.09760
2025-12-01T09:18:00Z,1.09720,1.09740
2025-12-01T09:19:00Z,1.09700,1.09720
2025-12-01T09:20:00Z,1.09680,1.09700
2025-12-01T09:21:00Z,1.09660,1.09680
2025-12-01T09:22:00Z,1.09640,1.09660
2025-12-01T09:23:00Z,1.09620,1.09640
2025-12-01T09:24:00Z,1.09600,1.09620
